"**name**","**profession**","**bio**","**known_for**"
"Albert Einstein","physicist","A theoretical scientist who transformed modern understanding of space, time, and energy. His work reshaped physics in the 20th century and influenced countless technological advances.","theory of relativity, photoelectric effect, E=mc², Nobel Prize"
"Isaac Newton","physicist","A pioneering thinker whose work established foundational principles of motion and gravity. His studies in mathematics and optics shaped the scientific revolution.","laws of motion, universal gravitation, calculus, Principia Mathematica"
"Galileo Galilei","astronomer","A key figure in the scientific revolution who championed observation and experimentation. His findings challenged long?held beliefs about the cosmos.","telescope observations, heliocentrism support, motion studies, Dialogue Concerning the Two Chief World Systems"
"Nikola Tesla","inventor","An innovative engineer known for groundbreaking work in electricity and wireless systems. His ideas influenced modern power distribution and communication technologies.","AC power systems, Tesla coil, wireless transmission concepts, electric motor innovations"
"Marie Curie","scientist","A pioneering researcher who advanced the study of radioactivity. Her discoveries opened new fields in physics and medicine.","radioactivity research, discovery of radium, discovery of polonium, Nobel Prizes"
"Charles Darwin","naturalist","A biologist whose theory of evolution reshaped understanding of life on Earth. His observations provided a unifying explanation for biological diversity.","evolution theory, natural selection, On the Origin of Species, biological research"
"Stephen Hawking","physicist","A cosmologist who explored black holes and the origins of the universe. His work brought complex scientific ideas to a global audience.","black hole radiation theory, cosmology research, A Brief History of Time, theoretical physics"
"Aristotle","philosopher","An ancient thinker whose writings shaped logic, ethics, science, and politics. His influence extended across centuries of intellectual history.","foundational philosophy, ethics, logic, natural sciences"
"Plato","philosopher","A classical thinker who explored justice, knowledge, and political theory. His works formed the basis of Western philosophical tradition.","The Republic, theory of forms, Academy founding, dialogues"
"Socrates","philosopher","An ancient teacher known for questioning assumptions and encouraging critical thought. His method shaped the foundations of Western philosophy.","Socratic method, ethics, influence on Plato, public dialogues"
"Leonardo da Vinci","artist","A Renaissance polymath whose creativity spanned art, engineering, and science. His works reflect deep curiosity and technical mastery.","Mona Lisa, The Last Supper, anatomical studies, inventions"
"Michelangelo","artist","A Renaissance master known for monumental works in sculpture, painting, and architecture. His creations express intense emotion and technical brilliance.","David, Sistine Chapel ceiling, Pietà, architectural design"
"Pablo Picasso","artist","A modern painter who transformed visual expression through experimentation and bold style. His innovations influenced generations of artists.","Cubism, Guernica, Blue Period, modern art"
"Vincent van Gogh","artist","A post?impressionist painter whose expressive style conveyed emotion and movement. His work became iconic after his lifetime.","Starry Night, Sunflowers, expressive brushwork, post?impressionism"
"Claude Monet","artist","A leading figure in impressionism who captured light and atmosphere through color and texture. His paintings emphasized perception over detail.","Water Lilies, Impressionism, landscape series, plein?air painting"
"Frida Kahlo","artist","A painter known for vivid imagery exploring identity, pain, and culture. Her work blended realism with symbolic and personal themes.","self?portraits, surreal imagery, Mexican cultural motifs, modern art"
"Salvador Dalí","artist","A surrealist known for dreamlike imagery and technical precision. His works explored the subconscious with striking visual symbolism.","The Persistence of Memory, surrealism, symbolic imagery, avant?garde art"
"Rembrandt","artist","A Dutch master celebrated for expressive portraits and dramatic use of light. His works reveal deep psychological insight.","The Night Watch, self?portraits, chiaroscuro, Dutch Golden Age"
"Andy Warhol","artist","A pop?art innovator who blurred boundaries between commercial imagery and fine art. His work reflected modern consumer culture.","Campbell’s Soup Cans, pop art, celebrity portraits, multimedia works"
"Georgia O'Keeffe","artist","A modern painter known for bold forms and vibrant colors inspired by nature. Her style helped shape American modernism.","flower paintings, desert landscapes, American modernism, abstract forms"
"William Shakespeare","writer","A dramatist whose plays and poetry shaped English literature. His works explore human emotion, power, and identity.","Hamlet, Macbeth, Romeo and Juliet, sonnets"
"Mark Twain","writer","A humorist and storyteller who captured American life with wit and insight. His works remain central to national literary identity.","Adventures of Huckleberry Finn, Tom Sawyer, satire, travel writing"
"Jane Austen","writer","A novelist who examined society, class, and relationships with sharp observation. Her works remain influential for their wit and realism.","Pride and Prejudice, Emma, Sense and Sensibility, social commentary"
"Charles Dickens","writer","A novelist who portrayed social struggles and vivid characters in industrial?era England. His stories highlighted inequality and resilience.","A Christmas Carol, Oliver Twist, Great Expectations, social reform themes"
