"name","profession","bio","known_for"
"Pyotr Ilyich Tchaikovsky","composer","A leading figure of the Romantic era, he created emotionally charged orchestral and ballet music. His works are known for their melodic richness and dramatic intensity. His compositions remain central to classical repertoire worldwide.","Swan Lake, The Nutcracker, Sleeping Beauty, Symphony No. 6"
"Antonio Vivaldi","composer","A Baroque-era innovator whose prolific output shaped the concerto form. His music is noted for its rhythmic vitality and expressive color. His influence extended across Europe during his lifetime.","The Four Seasons, Gloria, L'estro Armonico, Mandolin Concerto"
"Giuseppe Verdi","composer","A dominant force in 19th-century opera, he crafted works with powerful drama and memorable melodies. His operas often explored political and emotional themes. His legacy remains foundational to modern opera performance.","La Traviata, Aida, Rigoletto, Il Trovatore"
"Richard Wagner","composer","A revolutionary figure in opera who developed a new approach to musical drama. His works feature complex harmonies, leitmotifs, and large-scale orchestration. His ideas reshaped Western music and theatrical staging.","The Ring Cycle, Tristan und Isolde, Parsifal, The Flying Dutchman"
"George Frideric Handel","composer","A Baroque master known for his operas, oratorios, and instrumental works. His music blends dramatic flair with lyrical beauty. His compositions became central to European musical culture.","Messiah, Water Music, Music for the Royal Fireworks, Rinaldo"
"Igor Stravinsky","composer","A groundbreaking modernist who transformed 20th-century music through bold rhythmic and harmonic experimentation. His style evolved dramatically across his career. His works influenced generations of composers.","The Rite of Spring, The Firebird, Petrushka, Symphony of Psalms"
"Claude Debussy","composer","A pioneering figure of musical impressionism known for atmospheric textures and innovative harmonies. His works evoke vivid imagery and subtle emotional nuance. His influence extended far beyond classical music.","Clair de Lune, La Mer, Prélude à l'après-midi d'un faune, Pelléas et Mélisande"
"Johannes Brahms","composer","A central Romantic-era composer who blended classical structures with expressive depth. His music is admired for its craftsmanship and emotional power. His works span symphonies, chamber music, and choral compositions.","Symphony No. 1, Hungarian Dances, A German Requiem, Violin Concerto"
"Franz Liszt","composer","A virtuoso pianist and influential composer who transformed keyboard technique. His works pushed harmonic boundaries and expanded the expressive potential of the piano. He also pioneered the symphonic poem.","Hungarian Rhapsodies, Faust Symphony, Liebesträume, Totentanz"
"Sergei Rachmaninoff","composer","A Romantic-era successor known for lush harmonies and virtuosic piano writing. His music blends sweeping emotion with technical brilliance. His works remain staples of concert repertoire.","Piano Concerto No. 2, Rhapsody on a Theme of Paganini, Symphony No. 2, Prelude in C-sharp minor"
"Elvis Presley","singer","A cultural icon whose fusion of country, blues, and gospel helped define rock and roll. His charismatic performances reshaped popular music. His influence continues across genres and generations.","Heartbreak Hotel, Hound Dog, Jailhouse Rock, Suspicious Minds"
"The Beatles","band","A groundbreaking group that transformed popular music through innovation in songwriting, recording, and style. Their work spanned multiple genres and cultural movements. Their legacy remains unmatched in modern music history.","Sgt. Pepper's Lonely Hearts Club Band, Abbey Road, Revolver, Let It Be"
"Bob Dylan","singer-songwriter","A pivotal figure in folk and rock whose poetic lyrics reshaped popular songwriting. His work often addressed social and political themes. His influence spans decades of musicians and writers.","Blowin' in the Wind, Like a Rolling Stone, The Times They Are A-Changin', Highway 61 Revisited"
"Michael Jackson","singer","A global superstar known for groundbreaking music, dance, and visual artistry. His albums set sales records and redefined pop performance. His cultural impact remains profound worldwide.","Thriller, Billie Jean, Beat It, Bad"
"Madonna","singer","A pop innovator known for constant reinvention and boundary-pushing artistry. Her work spans dance, electronic, and experimental styles. She remains one of the most influential figures in modern pop.","Like a Prayer, Vogue, Material Girl, Ray of Light"
