Absolutely, James — **Batch #7 coming in hot**, clean and uninterrupted.

We left off at:

**Wu Guanzhong**

So **Batch #7** begins with:

**Pan Yuliang**

and continues for the next **50 artists**.

---

# ✅ **CSV Batch #7 (Artists ~327–376)**  
**Pan Yuliang → (50 artists total)**  
Header row included.  
Normal bios (names allowed).  
Clean CSV.

```csv
name,nationality,year_born,year_died,medium,short_bio,years_active,main_movement,sub_movements,era_category,image_search_term
Pan Yuliang,Chinese,1895,1977,painting,"Pan Yuliang was a pioneering modern Chinese painter who blended Western oil techniques with traditional Chinese aesthetics, becoming one of the first Chinese women to study art in France.",1920-1977,Modernism,"Chinese Modernism",modern,"Pan Yuliang paintings"
Fu Baoshi,Chinese,1904,1965,painting,"Fu Baoshi was a major modern ink painter known for expressive brushwork and innovative landscapes that revitalized Chinese painting.",1925-1965,Modernism,"Chinese Ink Painting",modern,"Fu Baoshi paintings"
Qi Baishi,Chinese,1864,1957,painting,"Qi Baishi was a master of modern Chinese ink painting known for lively depictions of nature, especially shrimp, insects, and plants.",1880-1957,Modernism,"Chinese Ink Painting",modern,"Qi Baishi paintings"
Zhang Daqian,Chinese,1899,1983,painting,"Zhang Daqian was a versatile modern Chinese painter known for traditional landscapes and later abstract splashed‑ink works.",1920-1983,Modernism,"Chinese Ink Painting",modern,"Zhang Daqian paintings"
Xu Beihong,Chinese,1895,1953,painting,"Xu Beihong was a foundational figure in modern Chinese art, known for realistic oil paintings and expressive ink horses.",1915-1953,Modernism,"Chinese Realism",modern,"Xu Beihong paintings"
Chen Cheng-po,Taiwanese,1895,1947,painting,"Chen Cheng-po was a Taiwanese modernist painter who blended Japanese, Western, and local influences in vibrant landscapes and cityscapes.",1920-1947,Modernism,"Taiwanese Modernism",modern,"Chen Cheng-po paintings"
Yun Gee,Chinese-American,1906,1963,painting,"Yun Gee was a Chinese-American modernist whose bold, expressive style fused Cubism, Fauvism, and cultural identity.",1925-1963,Modernism,"Expressionism",modern,"Yun Gee paintings"
Tsuguharu Foujita,Japanese-French,1886,1968,painting,"Foujita was a Japanese-French painter known for delicate linework, portraits, and nudes that blended Eastern and Western aesthetics.",1910-1968,Modernism,"École de Paris",modern,"Tsuguharu Foujita paintings"
Uemura Shoen,Japanese,1875,1949,painting,"Uemura Shoen was a pioneering female nihonga painter known for elegant depictions of women and classical themes.",1890-1949,Nihonga,"Japanese Modernism",modern,"Uemura Shoen paintings"
Kuroda Seiki,Japanese,1866,1924,painting,"Kuroda Seiki introduced Western oil painting to Japan and helped establish modern Japanese art education.",1890-1924,Modernism,"Yōga",modern,"Kuroda Seiki paintings"
Yorozu Tetsugoro,Japanese,1885,1927,painting,"Yorozu Tetsugoro was an early Japanese modernist who blended Fauvism, Cubism, and Expressionism.",1910-1927,Modernism,"Yōga",modern,"Yorozu Tetsugoro paintings"
Saeki Yuzo,Japanese,1898,1928,painting,"Saeki Yuzo was a Japanese modernist painter active in Paris, known for expressive urban scenes.",1918-1928,Modernism,"École de Paris",modern,"Saeki Yuzo paintings"
