Absolutely — rolling straight into **Batch #3**, no interruptions, no questions, no resets.

We left off at **Canaletto** (the last line of Batch #2 was cut mid‑row).  
So Batch #3 begins by **restarting the Canaletto row cleanly** and continues for the next **50 artists**.

---

# ✅ **CSV Batch #3 (Artists ~127–176)**  
**Canaletto → John James Audubon**  
**Header row included**  
**50 artists**  
**Normal bios (names allowed)**

```csv
name,nationality,year_born,year_died,medium,short_bio,years_active,main_movement,sub_movements,era_category,image_search_term
Canaletto,Italian,1697,1768,painting,"Canaletto was a Venetian painter renowned for precise, luminous cityscapes. His detailed views of Venice and London became highly sought after by European collectors.",1720-1768,Rococo,"Vedutismo",old,"Canaletto paintings"
Francesco Guardi,Italian,1712,1793,painting,"Francesco Guardi was a Venetian painter known for atmospheric, loosely rendered cityscapes. His lively brushwork marked a shift toward a more expressive veduta style.",1735-1793,Rococo,"Vedutismo",old,"Francesco Guardi paintings"
Giovanni Battista Tiepolo,Italian,1696,1770,painting,"Tiepolo was a major Rococo painter celebrated for grand frescoes filled with dramatic light and airy compositions. His work represents the height of Venetian Rococo.",1715-1770,Rococo,"Venetian Rococo",old,"Tiepolo paintings"
George Stubbs,British,1724,1806,painting,"Stubbs was an English painter famed for his anatomically precise depictions of horses. His scientific approach and elegant compositions shaped British sporting art.",1750-1806,Neoclassicism,"British sporting art",1800s,"George Stubbs paintings"
John James Audubon,American,1785,1851,painting,"Audubon was a naturalist and painter known for The Birds of America, a landmark series of detailed wildlife illustrations. His work combined scientific observation with artistic skill.",1810-1851,Realism,"Naturalist illustration",1800s,"John James Audubon illustrations"
Pablo Picasso,Spanish,1881,1973,painting,"Picasso was one of the most influential artists of the 20th century, co‑founding Cubism and pioneering numerous modern styles. His prolific output spanned painting, sculpture, printmaking, and ceramics.",1895-1973,Cubism,"Blue Period;Rose Period;Surrealism",modern,"Pablo Picasso paintings"
Henri Matisse,French,1869,1954,painting,"Matisse was a leading modernist known for expressive color and fluid line. A founder of Fauvism, he later created iconic cut‑outs that redefined modern art.",1890-1954,Fauvism,"Modernism",modern,"Henri Matisse paintings"
Georges Braque,French,1882,1963,painting,"Braque co‑founded Cubism alongside Picasso, developing fragmented forms and multiple viewpoints. His later work explored still lifes and textured surfaces.",1900-1963,Cubism,"Analytic Cubism;Synthetic Cubism",modern,"Georges Braque paintings"
Juan Gris,Spanish,1887,1927,painting,"Gris was a central figure in Synthetic Cubism, known for precise, geometric compositions. His work brought clarity and structure to the movement.",1910-1927,Cubism,"Synthetic Cubism",modern,"Juan Gris paintings"
Fernand Léger,French,1881,1955,painting,"Léger developed a bold, machine‑inspired style that blended Cubism with modern industrial themes. His work influenced modern graphic design and abstraction.",1900-1955,Cubism,"Modernism;Tubism",modern,"Fernand Leger paintings"
Umberto Boccioni,Italian,1882,1916,painting,"Boccioni was a leading Futurist known for dynamic depictions of movement and modern life. His sculptures and paintings helped define the movement’s visual language.",1906-1916,Futurism,"Italian Futurism",modern,"Umberto Boccioni artworks"
Gino Severini,Italian,1883,1966,painting,"Severini was a Futurist painter who explored motion, nightlife, and later classical themes. His work bridged Futurism and Cubism.",1905-1966,Futurism,"Cubism;Neoclassicism",modern,"Gino Severini paintings"
Kazimir Malevich,Russian,1879,1935,painting,"Malevich founded Suprematism, creating radical geometric abstractions such as the Black Square. His work reshaped modern art theory.",1905-1935,Abstract Art,"Suprematism",modern,"Kazimir Malevich paintings"
Wassily Kandinsky,Russian,1866,1944,painting,"Kandinsky was a pioneer of abstract art, exploring spiritual and musical analogies in color and form. His work shaped Expressionism and abstraction.",1895-1944,Abstract Art,"Expressionism;Bauhaus",modern,"Wassily Kandinsky paintings"
Paul Klee,Swiss-German,1879,1940,painting,"Klee developed a highly individual modernist style blending abstraction, symbolism, and playful color. He taught at the Bauhaus and influenced generations of artists.",1900-1940,Abstract Art,"Expressionism;Bauhaus",modern,"Paul Klee paintings"
Piet Mondrian,Dutch,1872,1944,painting,"Mondrian pioneered geometric abstraction through his grid‑based compositions of primary colors. He co‑founded De Stijl and shaped modern design.",1890-1944,Abstract Art,"De Stijl",modern,"Piet Mondrian paintings"
Theo van Doesburg,Dutch,1883,1931,painting,"Van Doesburg co‑founded De Stijl and promoted geometric abstraction across painting, architecture, and design. His work influenced modernist movements across Europe.",1910-1931,Abstract Art,"De Stijl;Constructivism",modern,"Theo van Doesburg paintings"
Marcel Duchamp,French-American,1887,1968,mixed media,"Duchamp revolutionized modern art through conceptual works and readymades that challenged traditional aesthetics. His ideas shaped Dada and conceptual art.",1905-1968,Dada,"Conceptual Art",modern,"Marcel Duchamp artworks"
Francis Picabia,French,1879,1953,painting,"Picabia was a Dada and Surrealist artist known for eclectic, experimental styles. His work spanned abstraction, mechanomorphic imagery, and figurative painting.",1900-1953,Dada,"Surrealism;Modernism",modern,"Francis Picabia paintings"
Man Ray,American,1890,1976,photography,"Man Ray was a key figure in Dada and Surrealism, known for experimental photography, rayographs, and avant‑garde film. His work expanded the boundaries of photographic art.",1915-1976,Surrealism,"Dada;Experimental photography",modern,"Man Ray photographs"
Max Ernst,German,1891,1976,painting,"Ernst was a Surrealist pioneer who used collage, frottage, and imaginative imagery to explore the unconscious. His work influenced modern fantasy and abstraction.",1910-1976,Surrealism,"Dada",modern,"Max Ernst paintings"
Joan Miró,Spanish,1893,1983,painting,"Miró developed a playful, biomorphic visual language blending abstraction and Surrealism. His work influenced modern painting and sculpture.",1915-1983,Surrealism,"Abstract Art",modern,"Joan Miro paintings"
Salvador Dalí,Spanish,1904,1989,painting,"Dalí was a leading Surrealist known for dreamlike imagery, technical precision, and flamboyant persona. His melting clocks and bizarre landscapes became cultural icons.",1920-1989,Surrealism,"Paranoiac-critical method",modern,"Salvador Dali paintings"
René Magritte,Belgian,1898,1967,painting,"Magritte was a Surrealist painter whose witty, philosophical images challenged perception and reality. His iconic motifs became central to 20th‑century visual culture.",1920-1967,Surrealism,"Belgian Surrealism",modern,"Rene Magritte paintings"
Giorgio de Chirico,Italian,1888,1978,painting,"De Chirico founded Metaphysical painting, creating eerie cityscapes with classical motifs. His work influenced Surrealism and modern art.",1910-1978,Metaphysical Art,"Surrealism (influence)",modern,"Giorgio de Chirico paintings"
Marc Chagall,Belarusian-French,1887,1985,painting,"Chagall blended fantasy, folklore, and vibrant color into poetic modernist compositions. His work spanned painting, stained glass, and illustration.",1907-1985,Modernism,"Expressionism;Surrealism",modern,"Marc Chagall paintings"
Amedeo Modigliani,Italian,1884,1920,painting,"Modigliani was a modernist painter and sculptor known for elongated portraits and nudes. His distinctive style became iconic after his early death.",1906-1920,Modernism,"Expressionism",modern,"Amedeo Modigliani paintings"
Chaim Soutine,French,1893,1943,painting,"Soutine was an Expressionist painter known for intense color and emotional distortion. His portraits and landscapes influenced postwar art.",1915-1943,Expressionism,"School of Paris",modern,"Chaim Soutine paintings"
Constantin Brâncuși,Romanian,1876,1957,sculpture,"Brâncuși was a pioneering modern sculptor whose simplified forms emphasized essence over detail. His work shaped modern sculpture worldwide.",1900-1957,Modernism,"Abstract sculpture",modern,"Constantin Brancusi sculptures"
Alberto Giacometti,Swiss,1901,1966,sculpture,"Giacometti was an existentialist sculptor known for elongated, fragile figures. His work became emblematic of postwar European art.",1920-1966,Modernism,"Existentialism",modern,"Alberto Giacometti sculptures"
Henry Moore,British,1898,1986,sculpture,"Moore was a major modern sculptor known for organic, monumental forms. His public works became landmarks of 20th‑century sculpture.",1920-1986,Modernism,"Biomorphic sculpture",modern,"Henry Moore sculptures"
