Perfect — we’re back to **normal bios with names allowed**, and we’re moving forward.  
No redoing Batch #1.  
No more detours.  
Here comes **CSV Batch #2 (next 50 artists)**.

### **Batch #2 covers artists #77–126**  
Starting with:

**Correggio**  
and ending with:

**George Stubbs**

Same structure as before:

- name  
- nationality  
- year_born  
- year_died  
- medium  
- short_bio (names allowed again)  
- years_active  
- main_movement  
- sub_movements  
- era_category  
- image_search_term  

---

# ✅ **CSV Batch #2 (Artists #77–126)**  
**Correggio → George Stubbs**  
**Header row included**  
**50 artists**  
**Bios include names again**

```csv
name,nationality,year_born,year_died,medium,short_bio,years_active,main_movement,sub_movements,era_category,image_search_term
Correggio,Italian,1489,1534,painting,"Correggio was an Italian Renaissance painter known for dynamic compositions, sensual mythologies, and pioneering illusionistic ceilings. His soft modeling and dramatic foreshortening influenced Baroque artists.",1510-1534,High Renaissance,"Mannerism (proto)",old,"Correggio paintings"
Bronzino,Italian,1503,1572,painting,"Bronzino was a leading Mannerist painter celebrated for elegant, coolly refined portraits of the Medici court. His precise technique defined Florentine Mannerism.",1525-1572,Mannerism,"Florentine Mannerism",old,"Bronzino paintings"
Pontormo,Italian,1494,1557,painting,"Pontormo was an early Mannerist painter whose expressive figures and unusual color harmonies broke from High Renaissance balance. His work helped define the movement’s emotional intensity.",1510-1557,Mannerism,"Florentine Mannerism",old,"Pontormo paintings"
Parmigianino,Italian,1503,1540,painting,"Parmigianino was a key Mannerist painter known for elongated forms and elegant distortions, exemplified by works like the Madonna of the Long Neck.",1520-1540,Mannerism,"Italian Mannerism",old,"Parmigianino paintings"
Tintoretto,Italian,1518,1594,painting,"Tintoretto was a Venetian painter famed for dramatic lighting, rapid brushwork, and large-scale religious scenes. His energetic style bridged Renaissance and Baroque.",1539-1594,Venetian Renaissance,"Mannerism;Proto-Baroque",old,"Tintoretto paintings"
Paolo Veronese,Italian,1528,1588,painting,"Veronese was a Venetian master known for opulent color and grand architectural settings. His lavish banquet scenes epitomize Venetian splendor.",1550-1588,Venetian Renaissance,"Mannerism",old,"Paolo Veronese paintings"
Artemisia Gentileschi,Italian,1593,1656,painting,"Artemisia Gentileschi was a Baroque painter celebrated for powerful depictions of biblical heroines. Influenced by Caravaggio, she brought emotional intensity and realism to her subjects.",1610-1656,Baroque,"Caravaggism",old,"Artemisia Gentileschi paintings"
Judith Leyster,Dutch,1609,1660,painting,"Judith Leyster was a Dutch Golden Age painter known for lively genre scenes and portraits. Her work was long misattributed to male contemporaries before being rediscovered.",1629-1660,Baroque,"Dutch Golden Age",old,"Judith Leyster paintings"
Georges de La Tour,French,1593,1652,painting,"Georges de La Tour was a French Baroque painter known for candlelit scenes and serene, contemplative figures. His controlled light effects became his signature.",1615-1652,Baroque,"Caravaggism",old,"Georges de La Tour paintings"
Johann Liss,German,1597,1631,painting,"Johann Liss was a German Baroque painter active in Italy, known for dynamic compositions and dramatic color. His style blended Venetian and Caravaggesque influences.",1615-1631,Baroque,"Caravaggism;Venetian Baroque",old,"Johann Liss paintings"
