"name","profession","bio","known_for"
"Tom Hanks","actor","An American performer known for his versatility across drama and comedy. His work spans decades and includes some of the most beloved films in modern cinema. He is widely regarded for portraying relatable, empathetic characters.","Forrest Gump, Cast Away, Saving Private Ryan, Toy Story"
"Leonardo DiCaprio","actor","A leading figure in contemporary cinema known for intense, emotionally driven roles. His career includes collaborations with major directors and a strong focus on environmental activism. He has earned numerous awards for his performances.","Titanic, Inception, The Revenant, The Wolf of Wall Street"
"Morgan Freeman","actor","A distinguished performer recognized for his calm authority and resonant voice. His work spans film, television, and narration across multiple genres. He is celebrated for portraying wise, grounded characters.","The Shawshank Redemption, Million Dollar Baby, Driving Miss Daisy, March of the Penguins"
"Anthony Hopkins","actor","A Welsh performer acclaimed for his powerful and often unsettling portrayals. His career includes stage, film, and television roles across decades. He is known for embodying complex and psychologically rich characters.","The Silence of the Lambs, The Father, Thor, Legends of the Fall"
"Jodie Foster","actor","An American performer who began working in childhood and transitioned into acclaimed adult roles. Her work includes psychological thrillers, dramas, and socially conscious films. She has also directed several projects.","The Silence of the Lambs, Contact, Taxi Driver, Panic Room"
"Harrison Ford","actor","A major figure in blockbuster cinema known for iconic action and adventure roles. His career spans multiple franchises and dramatic performances. He is recognized for portraying rugged, charismatic heroes.","Star Wars, Indiana Jones, Blade Runner, The Fugitive"
"Clint Eastwood","actor","An American performer and filmmaker known for Westerns, action films, and character-driven dramas. His directing career has earned widespread acclaim. He is associated with stoic, tough protagonists.","Dirty Harry, Unforgiven, Million Dollar Baby, Gran Torino"
"Sean Connery","actor","A Scottish performer best known for originating a legendary spy character on screen. His career includes action, drama, and fantasy films. He became an enduring symbol of cinematic cool.","James Bond series, The Untouchables, The Hunt for Red October, Indiana Jones and the Last Crusade"
"Robin Williams","actor","A performer celebrated for rapid-fire improvisation and emotional depth. His work spans stand-up comedy, family films, and serious drama. He is remembered for bringing warmth and humanity to his roles.","Good Will Hunting, Dead Poets Society, Aladdin, Mrs. Doubtfire"
"Will Smith","actor","An American entertainer who transitioned from music to television and film. His career includes action blockbusters, dramas, and comedic roles. He is known for charismatic, high-energy performances.","Men in Black, Independence Day, The Fresh Prince of Bel-Air, Ali"
"Brad Pitt","actor","A leading figure in Hollywood known for both commercial and critically acclaimed roles. His work includes dramas, thrillers, and ensemble films. He is also active as a producer.","Fight Club, Once Upon a Time in Hollywood, Ocean's Eleven, Seven"
"Angelina Jolie","actor","An American performer recognized for action roles, dramatic performances, and humanitarian work. Her career includes major blockbusters and intimate character studies. She has also directed several films.","Maleficent, Girl Interrupted, Mr. & Mrs. Smith, Tomb Raider"
