Here’s the first chunk as a CSV (20 artists). If this structure looks good, I’ll keep going down the list in further batches.

```csv
Name,Nationality,YearBorn,YearDied,Medium,ShortBio,YearsActive,MainMovementOrPeriod,SubMovements,ActiveCategory,ImageSearchTerm
Leonardo da Vinci,Italian,1452,1519,"painting, drawing, sculpture, architecture","Italian High Renaissance polymath whose paintings and scientific studies epitomize the Renaissance ideal, famed for the Mona Lisa and The Last Supper.","c.1470–1519","High Renaissance","Italian Renaissance",old,"Leonardo da Vinci paintings"
Michelangelo Buonarroti,Italian,1475,1564,"sculpture, painting, architecture","Italian master renowned for his monumental sculptures and the Sistine Chapel ceiling, exploring the expressive power of the human body.","c.1490–1564","High Renaissance","Mannerism, Italian Renaissance",old,"Michelangelo sculptures and paintings"
Raphael Sanzio,Italian,1483,1520,"painting, architecture","Italian painter and architect celebrated for harmonious compositions and idealized figures, especially in his Vatican frescoes such as The School of Athens.","c.1500–1520","High Renaissance","Italian Renaissance",old,"Raphael paintings"
Rembrandt van Rijn,Dutch,1606,1669,"painting, etching, drawing","Dutch master of light and shadow whose portraits, biblical scenes, and self-portraits are central to Baroque art and the Dutch Golden Age.","c.1625–1669","Baroque","Dutch Golden Age",old,"Rembrandt paintings"
Johannes Vermeer,Dutch,1632,1675,"painting","Dutch painter known for intimate interior scenes with luminous light and quiet psychological depth, such as Girl with a Pearl Earring.","c.1650–1675","Baroque","Dutch Golden Age",old,"Johannes Vermeer paintings"
Caravaggio,Italian,1571,1610,"painting","Italian painter whose dramatic chiaroscuro and naturalistic figures transformed Baroque painting and influenced generations of artists.","c.1590–1610","Baroque","Caravaggism",old,"Caravaggio paintings"
Titian (Tiziano Vecellio),Italian,c.1488,1576,"painting","Venetian Renaissance painter celebrated for rich color and sensuous handling of paint in portraits, mythologies, and religious works.","c.1508–1576","High Renaissance","Venetian Renaissance, Mannerism",old,"Titian paintings"
Albrecht Dürer,German,1471,1528,"painting, printmaking, drawing","German artist and printmaker whose engravings and woodcuts combined Northern detail with Italian Renaissance ideals.","c.1490–1528","Northern Renaissance","German Renaissance",old,"Albrecht Dürer engravings"
Hieronymus Bosch,Dutch,1450,1516,"painting","Netherlandish painter famed for fantastical, moralizing visions such as The Garden of Earthly Delights.","c.1475–1516","Northern Renaissance","Early Netherlandish",old,"Hieronymus Bosch paintings"
Pieter Bruegel the Elder,Flemish,1525,1569,"painting, drawing","Flemish painter known for peasant scenes and complex allegories that blend landscape, folklore, and social commentary.","c.1550–1569","Northern Renaissance","Dutch and Flemish Renaissance",old,"Pieter Bruegel the Elder paintings"
El Greco (Doménikos Theotokópoulos,Greek-Spanish,1541,1614,"painting, sculpture","Greek-born artist active in Spain, noted for elongated figures and expressive color that bridge late Renaissance and early Baroque.","c.1565–1614","Mannerism","Spanish Renaissance",old,"El Greco paintings"
Peter Paul Rubens,Flemish,1577,1640,"painting","Flemish Baroque painter renowned for dynamic compositions, vivid color, and robust figures in religious, mythological, and courtly scenes.","c.1600–1640","Baroque","Flemish Baroque",old,"Peter Paul Rubens paintings"
