Understood. No more questions, no more delays.  
Here is **CSV Batch #1 (50 artists)** exactly as requested — **Rembrandt van Rijn ? Giovanni Bellini**, with **header row included**, formatted cleanly, no commentary.

---

# ? **CSV Batch #1 (Artists #27–76)**  
**Copy/paste directly — this is valid CSV.**

```csv
name,nationality,year_born,year_died,medium,short_bio,years_active,main_movement,sub_movements,era_category,image_search_term
Rembrandt van Rijn,Dutch,1606,1669,painting,"Dutch Baroque master known for his profound psychological portraits, dramatic use of light, and innovative narrative scenes. His work shaped the Dutch Golden Age and influenced centuries of painters.",1625-1669,Baroque,"Dutch Golden Age",old,"Rembrandt paintings"
Johannes Vermeer,Dutch,1632,1675,painting,"Vermeer was a Dutch painter celebrated for his serene domestic interiors and masterful handling of light. His small but influential body of work is central to the Dutch Golden Age.",1654-1675,Baroque,"Dutch Golden Age",old,"Johannes Vermeer paintings"
Jacob van Ruisdael,Dutch,1628,1682,painting,"Ruisdael was a leading landscape painter of the Dutch Golden Age, known for dramatic skies and detailed natural settings. His work helped define landscape painting in Europe.",1646-1682,Baroque,"Dutch Golden Age",old,"Jacob van Ruisdael landscapes"
Nicolas Poussin,French,1594,1665,painting,"Poussin was a French classical painter whose structured compositions and historical themes shaped French academic art. His work emphasized clarity, order, and idealized form.",1612-1665,Classicism,"French Baroque",old,"Nicolas Poussin paintings"
Claude Lorrain,French,1600,1682,painting,"Claude Lorrain was a French landscape painter active in Rome, known for luminous, idealized vistas. His poetic landscapes influenced generations of European artists.",1625-1682,Baroque,"Landscape Classicism",old,"Claude Lorrain landscapes"
Jean-Antoine Watteau,French,1684,1721,painting,"Watteau was a French painter whose elegant fêtes galantes defined early Rococo. His lyrical scenes blended theater, fantasy, and refined color.",1702-1721,Rococo,"Fêtes galantes",old,"Watteau paintings"
François Boucher,French,1703,1770,painting,"Boucher was a leading Rococo painter known for playful mythologies, pastoral scenes, and decorative elegance. His work epitomized 18th?century French court taste.",1720-1770,Rococo,"French Rococo",old,"Francois Boucher paintings"
Jean-Honoré Fragonard,French,1732,1806,painting,"Fragonard was a French Rococo painter celebrated for exuberant brushwork and romantic, playful scenes. His work represents the height of Rococo style.",1750-1789,Rococo,"French Rococo",old,"Fragonard paintings"
Jacques-Louis David,French,1748,1825,painting,"David was the leading Neoclassical painter of the French Revolution and Empire, known for moralizing historical scenes. His severe style shaped European academic art.",1770-1825,Neoclassicism,"French Revolution art",1800s,"Jacques-Louis David paintings"
Jean-Auguste-Dominique Ingres,French,1780,1867,painting,"Ingres was a French Neoclassical painter known for precise draftsmanship and idealized portraits. His work bridged Neoclassicism and emerging Romantic tendencies.",1800-1867,Neoclassicism,"Academic Classicism",1800s,"Ingres paintings"
