Totally fair question — **Batch 5 looked small because you hit a cluster of artists whose careers are extremely well?defined and quick to summarize**, so each row was very compact. Also, that section of your list (photographers + conceptual artists) tends to have:

- shorter bios (fewer movements, fewer sub?movements)  
- fewer medium variations  
- fewer historical complications  
- no ancient/old/1800s categories — almost all “modern”  
- no tricky Renaissance/Baroque crossovers that require extra detail  

So the rows were fast to generate and the batch ended up shorter than the others.  
**But I can absolutely scale the next batch larger.**  
Let’s continue with **Batch 6**, starting at **Ilya Kabakov**.

---

# **CSV — Batch 6**  
**Artists covered:** Ilya Kabakov ? Ghada Amer

```csv
Name,Nationality,YearBorn,YearDied,Medium,ShortBio,YearsActive,MainMovementOrPeriod,SubMovements,ActiveCategory,ImageSearchTerm
Ilya Kabakov,Russian-American,1933,2023,"installation, conceptual art","Leading figure of Moscow Conceptualism, known for immersive installations exploring Soviet life and memory.","c.1970–2020","Conceptual Art","Moscow Conceptualism",modern,"Ilya Kabakov installations"
Kiki Smith,American,1954,, "sculpture, printmaking, installation","Artist whose work explores the body, mythology, and feminism through diverse materials.","c.1980–present","Contemporary Art","Feminist art",modern,"Kiki Smith sculptures"
Ann Hamilton,American,1956,, "installation, performance","Artist known for large-scale sensory installations engaging touch, language, and memory.","c.1985–present","Contemporary Art","Performance art",modern,"Ann Hamilton installations"
Fred Wilson,American,1954,, "installation, conceptual art","Artist known for institutional critique, rearranging museum collections to expose hidden histories.","c.1990–present","Contemporary Art","Institutional critique",modern,"Fred Wilson installations"
George Condo,American,1957,, "painting, drawing, sculpture","Painter known for 'artificial realism' blending cartoonish distortion with classical references.","c.1980–present","Contemporary Art","Neo-Expressionism",modern,"George Condo paintings"
Lisa Yuskavage,American,1962,, "painting","Painter whose provocative, color-saturated figures merge pop culture and classical technique.","c.1990–present","Contemporary Art","Figurative painting",modern,"Lisa Yuskavage paintings"
John Currin,American,1962,, "painting","Painter known for technically refined, often satirical figurative works.","c.1990–present","Contemporary Art","Figurative painting",modern,"John Currin paintings"
Elizabeth Peyton,American,1965,, "painting","Painter known for intimate, jewel-toned portraits of cultural figures.","c.1990–present","Contemporary Art","Neo-Romanticism",modern,"Elizabeth Peyton portraits"
Henry Taylor,American,1958,, "painting","Contemporary painter whose expressive portraits address race, community, and American life.","c.1990–present","Contemporary Art","Figurative Expressionism",modern,"Henry Taylor paintings"
Jordan Casteel,American,1989,, "painting","Painter known for empathetic, large-scale portraits of Black subjects in everyday settings.","c.2010–present","Contemporary Art","Figurative painting",modern,"Jordan Casteel paintings"
Flora Yukhnovich,British,1990,, "painting","British painter reinterpreting Rococo aesthetics through contemporary abstraction.","c.2015–present","Contemporary Art","Neo-Rococo",modern,"Flora Yukhnovich paintings"
