Great — rolling straight into **Batch 3**, continuing the exact same CSV structure and formatting.  
This batch covers **Annie Leibovitz ? Rineke Dijkstra**.

If you want even larger batches per message, I can scale up.

---

# **CSV — Batch 3**

```csv
Name,Nationality,YearBorn,YearDied,Medium,ShortBio,YearsActive,MainMovementOrPeriod,SubMovements,ActiveCategory,ImageSearchTerm
Annie Leibovitz,American,1949,, "photography","American portrait photographer known for theatrical, iconic images of cultural figures.","c.1970–present","Contemporary Photography","Editorial portraiture",modern,"Annie Leibovitz portraits"
Sebastião Salgado,Brazilian,1944,, "photography","Brazilian photographer acclaimed for large-scale documentary projects on labor, migration, and the environment.","c.1975–present","Documentary Photography","Humanist photography",modern,"Sebastião Salgado photographs"
Steve McCurry,American,1950,, "photography","American photojournalist best known for vivid global reportage including the Afghan Girl portrait.","c.1978–present","Documentary Photography","Photojournalism",modern,"Steve McCurry photographs"
Weegee (Arthur Fellig),American,1899,1968,"photography","American photographer famous for stark flash-lit images of New York crime scenes and street life.","c.1935–1968","Photojournalism","Street photography",modern,"Weegee crime scene photos"
Yousuf Karsh,Armenian-Canadian,1908,2002,"photography","Master portrait photographer known for dramatic lighting and iconic images of world leaders.","c.1930–1990","Portrait Photography","Studio portraiture",modern,"Yousuf Karsh portraits"
Margaret Bourke-White,American,1904,1971,"photography","Trailblazing photojournalist and first female LIFE photographer, documenting industry, war, and social change.","c.1928–1960","Documentary Photography","Photojournalism",modern,"Margaret Bourke-White photographs"
August Sander,German,1876,1964,"photography","German photographer whose People of the 20th Century project systematically documented social types.","c.1900–1964","New Objectivity","Documentary portraiture",modern,"August Sander portraits"
Lisette Model,Austrian-American,1901,1983,"photography","Influential street photographer known for bold, candid images of urban life.","c.1934–1980","Street Photography","Documentary photography",modern,"Lisette Model street photography"
Gregory Crewdson,American,1962,, "photography","American photographer known for cinematic, elaborately staged suburban scenes.","c.1990–present","Contemporary Photography","Staged photography",modern,"Gregory Crewdson photographs"
Sally Mann,American,1951,, "photography","American photographer whose intimate family portraits and Southern landscapes explore memory and mortality.","c.1980–present","Contemporary Photography","Fine art photography",modern,"Sally Mann photographs"
Larry Clark,American,1943,, "photography, film","Photographer and filmmaker whose raw depictions of youth culture sparked controversy and acclaim.","c.1963–present","Documentary Photography","Youth culture",modern,"Larry Clark photographs"
Robert Frank,Swiss-American,1924,2019,"photography","Swiss-American photographer whose book The Americans reshaped documentary photography with its poetic realism.","c.1947–2000","Documentary Photography","Street photography",modern,"Robert Frank photographs"
Joel Meyerowitz,American,1938,, "photography","Pioneer of color street photography known for lyrical urban and landscape work.","c.1962–present","Street Photography","Color photography",modern,"Joel Meyerowitz street photography"
Vivian Maier,American,1926,2009,"photography","Reclusive nanny whose vast archive of street photographs was discovered posthumously, revealing extraordinary talent.","c.1950–1990","Street Photography","Documentary photography",modern,"Vivian Maier street photography"
Marsden Hartley,American,1877,1943,"painting","American modernist whose bold forms and symbolic abstractions bridged European avant-garde and American themes.","c.1908–1943","Modernism","American Modernism",modern,"Marsden Hartley paintings"
Arthur Dove,American,1880,1946,"painting","Early American abstractionist exploring organic forms and color harmonies.","c.1908–1946","Modernism","American Abstraction",modern,"Arthur Dove paintings"
Charles Burchfield,American,1893,1967,"painting","American painter known for visionary landscapes infused with emotional and spiritual intensity.","c.1915–1967","American Modernism","Watercolor modernism",modern,"Charles Burchfield paintings"
Milton Avery,American,1885,1965,"painting","American painter whose simplified forms and color fields influenced later Abstract Expressionists.","c.1920–1965","Modernism","Color field precursor",modern,"Milton Avery paintings"
Alice Neel,American,1900,1984,"painting","American portraitist celebrated for psychologically incisive, expressive depictions of friends, family, and cultural figures.","c.1930–1984","Expressionism","Figurative Expressionism",modern,"Alice Neel portraits"
Fairfield Porter,American,1907,1975,"painting","American painter blending realism and painterly color in domestic and landscape scenes.","c.1930–1975","American Realism","Modern figurative painting",modern,"Fairfield Porter paintings"
Remedios Varo,Spanish-Mexican,1908,1963,"painting","Surrealist painter whose intricate, mystical scenes explore science, magic, and transformation.","c.1930–1963","Surrealism","Esoteric Surrealism",modern,"Remedios Varo paintings"
Aaron Douglas,American,1899,1979,"painting, illustration","Key Harlem Renaissance artist whose stylized silhouettes depicted Black history and identity.","c.1925–1970","Harlem Renaissance","Modernism",modern,"Aaron Douglas paintings"
Betye Saar,American,1926,, "assemblage, mixed media","American artist known for politically charged assemblages addressing race, spirituality, and gender.","c.1960–present","Contemporary Art","Black Arts Movement",modern,"Betye Saar assemblage"
Faith Ringgold,American,1930,, "painting, quilting","Artist and activist known for narrative story quilts exploring race, feminism, and history.","c.1960–present","Contemporary Art","Feminist art",modern,"Faith Ringgold quilts"
Katsushika Hokusai,Japanese,1760,1849,"woodblock printing, painting","Master of ukiyo-e whose Thirty-Six Views of Mount Fuji includes the iconic Great Wave.","c.1780–1849","Ukiyo-e","Edo-period printmaking",1800s,"Hokusai woodblock prints"
Utagawa Hiroshige,Japanese,1797,1858,"woodblock printing","Ukiyo-e landscape master known for poetic travel series such as The Fifty-Three Stations of the T?kaid?.","c.1810–1858","Ukiyo-e","Edo-period printmaking",1800s,"Hiroshige woodblock prints"
