Perfect — I’ll continue exactly where the previous CSV batch ended.  
To keep this clean and usable, I’ll produce **Batch 2** now (the next ~40 artists), in the **same CSV structure**.

If at any point you want me to adjust columns, shorten bios, or split into smaller batches, just say so.

---

# **CSV — Batch 2 (continuing the list)**  
**Artists covered:** Toulouse-Lautrec ? Khnopff (the next block after Batch 1)

```csv
Name,Nationality,YearBorn,YearDied,Medium,ShortBio,YearsActive,MainMovementOrPeriod,SubMovements,ActiveCategory,ImageSearchTerm
Ernst Ludwig Kirchner,German,1880,1938,"painting, printmaking","German Expressionist and co-founder of Die Brücke, known for raw color and angular forms capturing modern urban anxiety.","c.1905–1938","Expressionism","Die Brücke",modern,"Ernst Ludwig Kirchner paintings"
Emil Nolde,German-Danish,1867,1956,"painting, printmaking","Expressionist painter noted for intense color and spiritual, often primitivist imagery.","c.1900–1950","Expressionism","Die Brücke",modern,"Emil Nolde paintings"
Ernst Barlach,German,1870,1938,"sculpture, drawing","German Expressionist sculptor whose simplified, emotive figures reflect spiritual and social themes.","c.1900–1938","Expressionism","German Expressionism",modern,"Ernst Barlach sculptures"
Käthe Kollwitz,German,1867,1945,"printmaking, drawing, sculpture","German artist whose powerful depictions of poverty, grief, and war made her a leading voice of socially engaged art.","c.1890–1945","Expressionism","Social Realism",modern,"Käthe Kollwitz prints"
Max Beckmann,German,1884,1950,"painting, printmaking","German painter whose bold, psychologically charged works bridge Expressionism and New Objectivity.","c.1905–1950","New Objectivity","Expressionism",modern,"Max Beckmann paintings"
Otto Dix,German,1891,1969,"painting, printmaking","German artist known for unflinching depictions of war and Weimar society.","c.1914–1969","New Objectivity","Expressionism",modern,"Otto Dix paintings"
George Grosz,German-American,1893,1959,"painting, drawing","German satirist whose biting caricatures exposed corruption and brutality in Weimar Germany.","c.1910–1959","New Objectivity","Dada",modern,"George Grosz drawings"
Franz Marc,German,1880,1916,"painting","Key Expressionist known for symbolic, brightly colored animals representing spiritual harmony.","c.1905–1916","Expressionism","Der Blaue Reiter",modern,"Franz Marc paintings"
Leonora Carrington,British-Mexican,1917,2011,"painting, sculpture, writing","Surrealist artist whose visionary, myth-infused imagery explores transformation and the occult.","c.1938–2011","Surrealism","Feminist Surrealism",modern,"Leonora Carrington paintings"
Meret Oppenheim,Swiss,1913,1985,"sculpture, objects, painting","Swiss Surrealist known for provocative, dreamlike objects such as the fur-lined teacup.","c.1933–1985","Surrealism","Object art",modern,"Meret Oppenheim works"
Walter Gropius,German,1883,1969,"architecture, design","Founder of the Bauhaus, whose functional, modernist designs shaped 20th-century architecture.","c.1910–1969","Modernism","Bauhaus",modern,"Walter Gropius buildings"
